kind,name,display,vertical,description,replies,room,linksTo,positionX,positionY,verbs,verbs_display,onVerb_description,onVerb_linksTo,onVerb_alter,onVerb_make,onVerb_dialog,moveTo,moveToX,moveToY
,,,,,,,,,,,,,,,,,,,
menu,you,you,,you,,,you,6,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,you,,,,,,,,,,,,,,,,,,
object,world,world,,world,,you,previousRoom,6,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,,misc room for nowhere objects,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,save_found,,,,,,,,,,,,,,,,,,
object,saved_game,resume,,save found. would you like to resume where you left off?,,save_found,,50,50,load_save|new_game,load save|new game,loading save...|...,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,new_game,,,,,,,,,,,,,,,,,,
object,title,drift mine satellite,,<br><center>drift mine satellite<br><br><i>a maintenance text adventure</i></center>,,new_game,,50,50,enter,begin,...,dream,,,,,,
,,,,,,,,,,,,,,,,,,,
room,train_car_inside,,,,,,,,,,,,,,,,,,
object,bed_made,bed,,a four-poster. ornate against the metal walls.,,,,10,60,enter|inspect,sleep|look,"falling asleep|all hung with curtains and sheets. a hand-made luxury, scavenged and patched.",dream,bed_unmade|,,,,,
object,bed_unmade,bed,,"curtains pulled back, pillows piled in the middle.",,train_car_inside,,10,60,enter|inspect,sleep|make,"falling asleep|you tuck in the sheets, and fold the rumpled comforters over them. 2 comforters, and a quilt. it is always a little cold here for you.",dream,bed_unmade|bed_made,,,,,
object,rug,rug,,"in mille-fleur style. threadbare and a little dirty, but expensive, once. you pulled it from the archives, when they held more than they do now.",,train_car_inside,,20,65,inspect,sit,"sitting on the rug, tracing the stems of your thousand flowers.",,,,,,,
object,mirror,mirror,,it's you.,,train_car_inside,,40,73,camera:make,take a photograph of yourself,"you point the polaroid at your reflection and release the shutter. it spits out a white square, on which your face slowly forms.",,,photograph,,,,
object,photograph,photograph,,"a photograph of you, framed in your bedroom mirror. it is a little blurry, but unmistakably you.",,,,40,70,take,take,,,,,,,,
object,library_card,library card,,"a photograph of you, framed in your bedroom mirror. on the back is written ""INTERLIBRARY LOAN: ONE 1962 MAGNAVOX PORTABLE RECORD PLAYER""",,,,40,70,,,,,,,,,,
object,door,door,left,leaving your home,,train_car_inside,train_car,85,50,,,,,,,,,,
object,modem,modem,,"gently blinking, green and red lights. like christmas.",,train_car_inside,,65,45,,,,,,,,,,
object,computer,computer,,"an old HP laptop. the hinges are busted, but it works fine if you don't try to move it.",,train_car_inside,,60,55,enter,log in,password: ***********,computer,,,,,,
object,copper_wire,copper wire,,"a length, handmade, that you've wrapped around a pencil.",,,,39,38,take,take,,,,,,,,
object,copper_cables,copper cables,,"snake-like, pulled from the walls of a disused boat. spliced together, in places, to make a longer thread.",,train_car_inside,,40,35,tools:make,work,"you braid a few strands, crimping the edges.",,,copper_wire,,,,
object,tools,tools,,"your trade spread out on the table. clippers, awl, pliers, drill. potentiometer. running on a dwindling supply of AA's.",,train_car_inside,,42,30,inspect|take,sharpen|take,you pull your stone against the cutting edges.|to carry with you.,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,dream,,,,,,,,,,,,,,,,,,
object,dream_1,dream,,standing on the porch in the morning.,,dream,,50,50,enter,wake up,coming back,train_car_inside,dream_2,,,,,
object,dream_2,dream,,the sound of birds out the window.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_3,,,,,
object,dream_3,dream,,walking city streets.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_4,,,,,
object,dream_4,dream,,it is snowing.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_5,,,,,
object,dream_5,dream,,"a fox stands in the front yard, looking at you.",,,,50,50,enter,wake up,coming back,train_car_inside,dream_6,,,,,
object,dream_6,dream,,"the ocean. tides, waves. smell of salt.",,,,50,50,enter,wake up,coming back,train_car_inside,dream_7,,,,,
object,dream_7,dream,,a fire in your childhood home.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_8,,,,,
object,dream_8,dream,,laying in the grass. moths in the flowers.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_9,,,,,
object,dream_9,dream,,"a smiling waitress takes your order. coffee, pancakes.",,,,50,50,enter,wake up,coming back,train_car_inside,dream_10,,,,,
object,dream_10,dream,,sitting on the steps of a museum. the sky is very blue.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_11,,,,,
object,dream_11,dream,,trying to explain why you cut your hair. failing. crying in frustration.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_12,,,,,
object,dream_12,dream,,wolves.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_13,,,,,
object,dream_13,dream,,schoolyard. it is almost summer. the asphalt is hot.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_14,,,,,
object,dream_14,dream,,a planet hanging low and close in the sky above the bluff.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_15,,,,,
object,dream_15,dream,,a house full of animals. they all need to be fed.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_16,,,,,
object,dream_16,dream,,eating a fresh peach.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_17,,,,,
object,dream_17,dream,,lost in a city. mountains in the distance.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_18,,,,,
object,dream_18,dream,,"running down a hill, tripping, catching yourself on air, flying, laughing.",,,,50,50,enter,wake up,coming back,train_car_inside,dream_19,,,,,
object,dream_19,dream,,a swan paddles circles on the lake.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_20,,,,,
object,dream_20,dream,,lost in a graphical interface. dream of clicking.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_1,,,,,
,,,,,,,,,,,,,,,,,,,
room,computer,,,,,,,,,,,,,,,,,,
object,games,games,,snake. solitaire. minesweeper.,,computer,,20,10,,,,,,,,,,
object,mail_1,mail,,"inbox: 3<br><br>from: horsegirl45<br>
subject: IMPORTANT. open asap.<br><br>
haha, gotcha! no but really, this is important– it’s my birthday tonight and if you don’t come to the party I’ll never forgive you. bring something nice for me, okay?",,computer,,20,25,inspect,archive,,,mail_2,,,,,
object,mail_2,mail,,"inbox: 2<br><br>from: eddyboy<br>
subject: continuing failures in the transmission lines<br><br>
listen, remember how we were running into issues with the voltage dropping for no particular reason? I think I might have a solution… come visit me near the generators by the lake.",,,,20,25,inspect,archive,,,mail_3,,,,,
object,mail_3,mail,,"inbox: 1<br><br>from: space_cadet1<br>
subject: your help with the GPS positioning<br><br>
need your expertise when you have a minute. will you come by? bring your toolbox.",,,,20,25,inspect,archive,,,mail_empty,,,,,
object,mail_empty,mail,,inbox: 0,,,,20,25,,,,,,,,,,
object,network,network,,"honestly, a lot of outages... probably half the network is offline?",,computer,,20,40,,,,,,,,,,
object,files,files,,"1,231,571 items. arranged in folders.",,computer,,20,55,,,,,,,,,,
object,log_out,log out,,logging out . . . .,,computer,train_car_inside,80,90,,,,,,,,,,
object,trash,trash,,draft proposal for a garden watering schedule. a letter you wrote while angry (filename: DONOTOPEN.txt). 27 selfies. a jpeg of a goat.,,computer,,90,90,inspect,empty,good riddance.,,empty_trash,,,,,
object,empty_trash,trash,,0 items.,,,,90,90,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,train_car,,,,,,,,,,,,,,,,,,
object,north,↟,,following the tunnel north,,train_car,tunnel_ew_2,50,5,,,,,,,,,,
object,train_car,train car,,your house.,,train_car,,35,68,enter|inspect,enter|look,going home|a passenger car from a regional railway. still has its graffiti. you've hung curtains in the windows.,train_car_inside,,,,,,
object,belltower,belltower,,"you built this -  bicycle frames welded together into a haphazard tower, with the cast iron ship's bell hanging from the top. used to be, you'd climb up to hit it with hammers. now there's a new clapper.",,train_car,,57,20,inspect|inspect|rope:inspect,climb|ring|fix pull,"a slightly different angle on the room. your train car looks smaller from here, caught in the limestone hollow. you think again how lucky you are to have such high ceilings.|you cannot ring it– there's no bell pull.|you climb up and fasten the cordage to the bell. it reaches almost to the ground.",,||belltower_2,,"a melodic sound, muted from the leather clapper. back when you used the bell for messages, the clapper was sharp metal and would echo for miles down the tunnels.",,,
object,belltower_2,belltower,,"you built this -  bicycle frames welded together into a haphazard tower, with the cast iron ship's bell hanging from the top. used to be, you'd climb up to hit it with hammers. now there's a new clapper.",,,,57,20,inspect|inspect,climb|ring,"a slightly different angle on the room. your train car looks smaller from here, caught in the limestone hollow. you think again how lucky you are to have such high ceilings.|a melodic sound, muted from the leather clapper. back when you used the bell for messages, you'd hit the bell with sharp metal. it would echo for miles down the tunnels.",,,,,,,
object,junk_pile_2,junk pile,,"an accumulation of objects and scrap, pulled from the tunnels, archives, vehicles. much of it electronic. some of it conductive. little of it beautiful - but not none of it. ",,train_car,,59,78,make,rummage,a little glass marble.,,junk_pile_3,marble,,,,
object,junk_pile_3,junk pile,,"an accumulation of objects and scrap, pulled from the tunnels, archives, vehicles. much of it electronic. some of it conductive. little of it beautiful - but not none of it. ",,,,59,80,make,rummage,a length of rope.,,,rope,,,,
object,marble,marble,,blue and clear. like the sky.,,,,61,77,take,take,,,,,,,,
object,rope,rope,,"hand-braided, out of miscellaneous cordage– kale stems, plastics, fabric.",,,,57,71,take,take,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,vault_door,,,,,,,,,,,,,,,,,,
object,east,↠,,following the tunnel east,,vault_door,tunnel_ew_1,95,50,,,,,,,,,,
object,outside,outside,,,,vault_door,,5,50,,,,,,,,,,
object,interior_door,interior door,left,"heavy, bolted metal. would take several people to move it.",,vault_door,,20,50,,,,,,,,,,
object,exterior_door,exterior door,left,the exterior door. it's been some time since you've seen it.,,vault_door,,15,50,,,,,,,,,,
object,ramp_top,ramp,,,,vault_door,,35,10,,,,,,,,,,
object,ramp_bottom,ramp,,,,vault_door,,35,90,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,rv_room,ms. borowski's rv,,roomier on the inside. a lace doily on every surface.,,,,,,,,,,,,,,,
object,off_television_set,television set,,"a bulbous black and white set in its own, faux-wood, cabinet. ",,rv_room,,45,30,remote:inspect,turn on,"you point the remote at the television and click. it turns on, but no image resolves.",,broken_television_set,,,,,
object,broken_television_set,television set,,currently showing static.,,,,45,30,tools:inspect,open,you pry off the casing with a flathead screwdriver and discharge the anode.,,open_television_set,,,,,
object,open_television_set,television set,,the plastic case is open and the tube is sitting on the table. a wire connecting to the antennae has... melted?,,,,45,30,copper_wire:make,patch,you cut out the section of blackened wire and patch in some of the bright copper instead. you reassemble the television. <br><br> ms. borowski will be thrilled.,,"fixed_television_set_owls,msBorowski2:msBorowski3",,,,,
object,fixed_television_set_owls,television set,,picking up a movie being broadcast from the archives. an experimental documentary about owl rehabilitation. ,,,,45,30,,,,,,,,,,
object,fixed_television_set_rose,television set,,picking up a movie being broadcast from the archives. a play set in a monastery.,,,,45,30,,,,,,,,,,
object,fixed_television_set_bonsai,television set,,"picking up a movie being broadcast from the archives. a man stands on a cliff, describing a juniper shrub.",,,,45,30,,,,,,,,,,
object,fixed_television_set_mad_max,television set,,picking up a movie being broadcast from the archives. fast cars in the night.,,,,45,30,,,,,,,,,,
object,mb_bed,bed,,"fluffy, down comforters, quilts.",,rv_room,,71,52,,,,,,,,,,
object,dinette,dinette,,set with knife and fork. plasticine chairs.,,rv_room,,20,80,,,,,,,,,,
object,door,door,,exiting the rv,,rv_room,ms_borowskis,50,85,,,exiting the rv,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,ms_borowskis,ms. borowski's,,,,,,,,,,,,,,,,,
object,south,↡,,following the tunnel south,,ms_borowskis,tunnel_e_5,50,95,,,,,,,,,,
object,solarPanel,solar panel,,"pretty aspirational, given the setting.",,ms_borowskis,,20,40,inspect,look,"oh, it's been turned into a picnic table... you can see the rings from coffee cups.",,solarPanel_inspected,,,,,
object,solarPanel_inspected,solar panel,,bolted onto table legs. makes for a nice centerpiece.,,,,20,40,inspect,touch,cool under your hand. a doily in the center.,,,,,,,
object,rv,rv,,a skyline camper. string lights extending from the frame.,,ms_borowskis,,70,30,enter|inspect,enter|look,entering the rv|in remarkably good shape. must not have ever been on the highway.,rv_room|,,,,,,
obect,remote,remote control,,rounded like the television. not very many buttons.,,,,54,61,take,take,,,,,,,,
person,msBorowski,ms. borowski,,"she is wearing a pale dress. or a nightgown? curlers, anyhow.",,ms_borowskis,,50,50,talk,,,,,,msBorowski_dialog_1,,,
dialog,msBorowski_dialog_1,,,"oh, nice to see your face, as always.|are you here to look at the television? I've been having trouble with it all day.",sure. I could take a look at it.|I'm sorry... I'll have to come back later.,ms. borowski,,,,make|close,,"oh, that's wonderful. the set's inside. and here's the remote, in case you need it.|",,msBorowski:msBorowski2,remote,,,,
person,msBorowski2,ms. borowski,,she looks vaguely expectant.,,,,50,50,talk,,,,,,msBorowski_dialog_2,,,
dialog,msBorowski_dialog_2,,,thanks again for agreeing to look at the television.|it's inside. you can't miss it. really ties the room together.,[x],ms. borowski,,,,,,,,,,,,,
person,msBorowski3,ms. borowski,,she looks hopeful.,,,,50,50,talk,,,,,,msBorowski_dialog_3,,,
dialog,msBorowski_dialog_3,,,"you're saying you actually fixed it? ohohoho! that's the best news I've had all day. | ... like a guardian angel... | ...... | oh, sorry, got lost in thought there. here, don't leave empty handed. my thanks.",[x],ms. borowski,,,,make,,,,,cake,,,,
person,msBorowski5,ms. borowski,,she is watching the television set. content.,,,,70,30,,,,,,,,rv_room,,
person,msBorowski6,ms. borowski,,she is watching the television set. content.,,,,70,30,talk,invite,,,,,msBorowski_dialog_6,,,
dialog,msBorowski_dialog_6,,,"what was that, hon? the party is going to start? | well, you know I wouldn't miss it for anything. | I'll see you there.",[x],ms. borowski,,,,inspect,,,,"msBorowski6:msBorowski7,angela_all:angela_ready",,,,,
person,msBorowski7,ms. borowski,,smiling serenely.,,,,50,85,,,,,,,,tunnel_e_6,23,23
object,cake,cake,,a black forest cake. extravagant. chocolatey.,,,,49,33,take,,,,msBorowski3:msBorowski5,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_junction,tunnel junction,,,,,,,,,,,,,,,,,
object,north,↟,,following the tunnel north,,tunnel_junction,tunnel_e_4,50,5,,,,,,,,,,
object,south,↡,,following the tunnel south,,tunnel_junction,tunnel_lake_1,50,95,,,,,,,,,,
object,west,↞,,following the tunnel west,,tunnel_junction,tunnel_ew_4,5,50,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_junction,tunnel_ew_6,95,50,,,,,,,,,,
object,signpost,signpost,,↟ the goat <br>ms.borowski's<br><br> ↡ the court<br>the lake<br><br> ↞ the vault door <br> train car <br>generators<br><br> ↠ astronomer<br>the stacks,,tunnel_junction,,50,50,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_ew_1,,,,,,,,,,,,,,,,,,
object,west,↞,,going to the vault door,,tunnel_ew_1,vault_door,5,50,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_ew_1,tunnel_ew_2,95,50,,,,,,,,,,
object,north,↟,,following the tunnel north,,tunnel_ew_1,tunnel_sn_1,50,5,,,,,,,,,,
object,south,↡,,following the tunnel south,,tunnel_ew_1,generator_tunnel_2,50,95,,,,,,,,,,
object,signpost,signpost,,↟ tunnel <br><br> ↡ generators<br>the lake<br><br> ↞ the vault door <br> ?? <br><br> ↠ train car<br>astronomer<br>the stacks<br>ms. borowski's<br>the lake,,tunnel_ew_1,,50,50,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_ew_2,,,,,,,,,,,,,,,,,,
object,west,↞,,following the tunnel west,,tunnel_ew_2,tunnel_ew_1,5,50,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_ew_2,tunnel_ew_4,95,50,,,,,,,,,,
object,tunnel_wall,tunnel wall,,"a sheer face of limestone, left by the excavators when this was a mine. there's only so much rock you can pull out of a mountain before the whole thing collapses– the tunnels are evidence of that. ",,tunnel_ew_2,,50,10,,,,,,,,,,
object,south,↡,,going to the train car,,tunnel_ew_2,train_car,50,95,,,,,,,,,,
object,street_lamp,street lamp,,"sodium bulbs. straight out of the suburbs. the light cast is yellow, and steals all color.",,tunnel_ew_2,,30,70,inspect,look,there's a faint fuzz of moss growing in the circle of cast light. the spectrum of the bulb must be just-wide enough for it. rare to see a plant <i>volunteer</i> to grow. it's kind of nice.,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_ew_4,,,,,,,,,,,,,,,,,,
object,west,↞,,following the tunnel west,,tunnel_ew_4,tunnel_ew_2,5,50,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_ew_4,tunnel_junction,95,50,,,,,,,,,,
object,rolling_chair,rolling chair,,"plastic, flaking.",,tunnel_ew_4,,63,67,,,,,,,,,,
object,card_table,card table,,"an in-progress game of go fish, you assume. it is so dark you can't see the cards, or the players.",,tunnel_ew_4,,52,75,,,,,,,,,,
object,card_table_2,card table,,pile of cards in the center of the table.,,,,52,75,,,,,,,,,,
object,folding_chair,folding chair,,"metal, rusty.",,tunnel_ew_4,,41,69,,,,,,,,,,
object,broken_lamp,lamp (burnt out),,a floor lamp. it is off.,,tunnel_ew_4,,40,81,abels_light_bulb:make|cains_light_bulb:make,replace bulb|replace bulb,you screw in the light bulb. the room flickers into relief.|you screw in the light bulb. the room flickers into relief.,,"fixed_lamp,abel_2:abel_3,cain_2:cain_3,card_table:card_table_2|fixed_lamp,abel_2:abel_3,cain_2:cain_3,card_table:card_table_2",burned_out_bulb|burned_out_bulb,,,,
object,fixed_lamp,lamp,,"a floor lamp. it is giving off a soft, warm light.",,,,40,81,,,,,,,,,,
object,burned_out_bulb,burned out lightbulb,,"a glass bubble, darkened inside with ash.",,,,33,77,take,,,,,,,,,
person,cain_1,cain,,<i>go fish.</i>,,tunnel_ew_4,,59,63,talk,,,,,,cain_dialog_1,,,
person,cain_2,cain,,<i>got any jacks?</i>,,,,59,63,,,,,,,,,,
person,cain_3,cain,,wearing a plaid shirt.,,,,59,63,talk,,,,,,cain_dialog_3,,,
person,cain_4,cain,,holding a full hand of cards.,,,,59,63,talk,invite,,,,,cain_dialog_4,,,
person,cain_5,cain,,nodding at the scene.,,,,95,50,,,,,,,,tunnel_e_6,11,8
dialog,cain_dialog_1,,,who's that? who's there? speak!,are you... playing cards in the dark? | ...,cain,,,,talk|close,,,,,,cain_dialog_2,,,
dialog,cain_dialog_2,,,"oh it's <i>you</i>. | well. good enough. | light went out a while back, but of course I couldn't just leave my cards here unguarded to go rummaging around for a new bulb. | abel's a cheat, you know. would take advantage.",I could find you a bulb?,cain,,,,make,,"oh, would you? you're a real pal, you know. here, take this– I know I've got some bulbs in my rv.",,"abel_1:abel_2,cain_1:cain_2",cains_rv_key,,,,
dialog,cain_dialog_3,,,"ha! lights on! you did it! | abel, the age of mischief ends now. | come on, don't tell me you didn't try to replace a king with a six in the dark.",[x],cain,,,,,,,,,,,,,
dialog,cain_dialog_4,,,"the party is on?? well, why didn't anyone tell me? | ... <i>you</i> are telling me? well... can't argue with that!",[x],cain,,,,inspect,,,,cain_4:cain_5,,,,,
person,abel_1,abel,,<i>got any eights?</i>,,tunnel_ew_4,,45,63,talk,,,,,,abel_dialog_1,,,
person,abel_2,abel,,<i>go fish.</i>,,,,45,63,,,,,,,,,,
person,abel_3,abel,,sporting a popped collar.,,,,45,63,talk,,,,,,abel_dialog_3,,,
person,abel_4,abel,,down to a single card.,,,,45,63,talk,invite,,,,,abel_dialog_4,,,
person,abel_5,abel,,arm linked with cain's.,,,,5,50,,,,,,,,tunnel_e_6,11,16
dialog,abel_dialog_1,,,wait. wait. is someone there?,hello? | ...,abel,,,,talk|close,,,,,,abel_dialog_2,,,
dialog,abel_dialog_2,,,"ah, it's you! well, <i>you're</i> not so bad. | look, look here– our lamp went out a bit ago, mid-game. but obviously I can't just <i>quit</i> halfway through... that'd be a forfeit. | would you mind getting a new bulb? I've got one stashed in my rv. ",sure?,abel,,,,make,,go ahead and take this– pretty sure I locked up today.,,"abel_1:abel_2,cain_1:cain_2",abels_rv_key,,,,
dialog,abel_dialog_3,,,"oh, that's better. thanks for going to the trouble.|I'm looking forward to my 53rd consecutive win being witnessed in the light.",[x],abel,,,,,,,,,,,,,
dialog,abel_dialog_4,,,the party's starting? ha! count me in!,[x],abel,,,,inspect,,,,abel_4:abel_5,,,,,
object,abels_rv_key,abel's rv key,,it has a plastic starfish keychain.,,,,45,59,take,,,,,,,,,
object,cains_rv_key,cain's rv key,,"""ford mobile traveler"" is stamped on the plastic.",,,,59,59,take,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_sn_1,,,,,,,,,,,,,,,,,,
object,north,↟,,following the tunnel north,,tunnel_sn_1,tunnel_e_1,50,5,,,,,,,,,,
object,south,↡,,following the tunnel south,,tunnel_sn_1,tunnel_ew_1,50,95,,,,,,,,,,
object,cricket,cricket,,"little chirping cave cricket. you get them sometimes. the sound is annoying, but... also somehow sweet.",,tunnel_sn_1,,65,80,,,,,,,,,,
object,tunnel_wall_left,tunnel wall,left,,,tunnel_sn_1,,25,50,,,,,,,,,,
object,tunnel_wall_right,tunnel wall,right,,,tunnel_sn_1,,75,50,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_e_1,,,,,,,,,,,,,,,,,,
object,tunnel_wall_left,tunnel wall,left,,,tunnel_e_1,,20,50,,,,,,,,,,
object,tunnel_wall_top,tunnel wall,,,,tunnel_e_1,,50,10,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_e_1,tunnel_e_2,95,50,,,,,,,,,,
object,south,↡,,following the tunnel south,,tunnel_e_1,tunnel_sn_1,50,95,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_e_2,,,,,,,,,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_e_2,tunnel_e_3,95,50,,,,,,,,,,
object,west,↞,,following the tunnel west,,tunnel_e_2,tunnel_e_1,5,50,,,,,,,,,,
object,food_scraps,food scraps,,"kitchen scraps and leftovers just on this edge of passable, mostly. people keep their bits and pieces. bring it by on their walks. it's good to feed a goat.",,tunnel_e_2,,30,30,make,dig,"you poke around the scraps pile, looking for the most edible bits. it's a bit smelly.",,,goat_food,,,,
object,goat_food,goat food,,"a corn cob. stems of chard. carrot ends. the bottom inch of a can of beans, warmed directly on the stove. a little burned, but not bad for a goat.",,,,32,35,take,take,,,,,,,,
object,north,↟,,going to visit the goat,,tunnel_e_2,goat_room,50,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,goat_room,,,,,,,,,,,,,,,,,,
object,south,↡,,following the tunnel south,,goat_room,tunnel_e_2,50,95,,,,,,,,,,
object,fence,low fence,,"the first version of this fence was made with cardboard tubes pulled from the archive, but the goat ate those. now it is stone. three and half feet tall. easy to feed a goat over.",,goat_room,,52,50,,,,,,,,,,
object,goat_shit,goat shit,,little pellets in a pile on the stone floor.,,,,45,40,bucket:take,take,you scoop the droppings into your bucket. good fertilizer for the garden.,,,,,,,
object,goat,goat,,square pupils. patient chewing. moonspotted.,,goat_room,,43,35,goat_food:make,feed,you dig into your pockets and come up with the food scraps from before. the goat wastes no time in relishing the treats. good goat.,,,goat_shit,,,,
object,goat_2,goat,,square pupils. patient chewing. moonspotted.,,,,43,35,inspect,invite,goat... come to angela's party. there will be cake.,,goat_3,,,,,
object,goat_3,goat,,he's got hold of a paper streamer. it's half eaten.,,,,50,95,,,,,,,,tunnel_e_6,49,51
,,,,,,,,,,,,,,,,,,,
room,tunnel_e_3,,,,,,,,,,,,,,,,,,
object,east,↠,,following the tunnel east,,tunnel_e_3,tunnel_e_4,95,50,,,,,,,,,,
object,west,↞,,following the tunnel west,,tunnel_e_3,tunnel_e_2,5,50,,,,,,,,,,
object,alcove,alcove,,,,tunnel_e_3,,50,10,,,,,,,,,,
object,family car,family car,,a 4-door buick sedan. plush seats. 8 track player.,,tunnel_e_3,,55,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,tunnel_e_4,,,,,,,,,,,,,,,,,,
